label,message
spam,Congratulations! You've won a $1000 Walmart gift card. Claim now!
spam,Your account has been compromised! Please verify your details immediately to avoid suspension.
spam,Click here to claim your free trial of our product!
spam,Exclusive deal! Get 50% off on all purchases today only!
spam,You've been selected for a special prize! Claim it now!
spam,Claim your free iPhone now by clicking this link!
spam,Your credit card has been blocked. Confirm your details now to unblock it.
spam,Get rich quick with this one-time offer! Limited time only!
spam,Unlock exclusive rewards by filling out this quick survey!
spam,Your Amazon account is locked. Confirm your password here.
spam,Win a vacation to the Bahamas! Click here to enter.
spam,Act fast! This limited-time offer won't last long!
spam,Your PayPal account has been suspended. Verify your information now.
spam,You've won a free cruise! Claim your tickets today!
spam,Get a free gift card by participating in this quick survey!
spam,Receive $500 instantly by signing up for our program!
spam,Your order has been canceled. Please verify your payment details.
spam,Your subscription is about to expire. Renew now for special benefits.
spam,You've been selected for an exclusive giveaway! Click here to enter.
spam,Get a free membership by signing up today!
spam,Earn thousands of dollars from home! Sign up now.
spam,Your account is in danger! Confirm your details immediately.
spam,Claim your prize now by following this link!
spam,Win a brand new car! Enter the sweepstakes now!
spam,Your Netflix account has been suspended. Reactivate it now.
spam,Get 70% off on all items for a limited time!
spam,Your package is waiting for you. Confirm your details to receive it.
spam,You've been chosen for an exclusive reward! Click to claim.
spam,"Free entry to the contest! Hurry, it ends soon!"
spam,Urgent! Your account will be closed unless you confirm now.
spam,You've won $100 in our sweepstakes. Claim your prize today!
spam,Get free delivery for life by signing up for our service!
spam,Your payment has failed. Please update your details now.
spam,Earn cash rewards by completing this short survey!
spam,Get free groceries for a year! Sign up now!
spam,Your bank account has been locked. Verify your identity now.
spam,Claim your free upgrade by clicking this link!
spam,You've won a $500 Amazon gift card. Claim it today!
spam,Get a free smartphone when you sign up for our service.
spam,Your Apple ID has been compromised. Confirm your information now.
spam,Win a free flight to anywhere in the world! Click here to enter.
spam,Exclusive offer just for you! Get 60% off all items.
spam,You've won a luxury vacation. Click here to claim.
spam,Your account is at risk! Verify your details immediately.
spam,Get a $200 bonus when you join our rewards program!
spam,Claim your discount by clicking this link now!
spam,Win a shopping spree worth $1000! Enter here.
spam,You've been selected for a VIP offer. Claim it now!
spam,Get a free laptop by joining our program!
ham,"Hey, do you want to meet up for coffee tomorrow?"
ham,Let's catch up later this week!
ham,I will send you the document by tonight.
ham,Can you review the report and get back to me by tomorrow?
ham,I'll call you after the meeting.
ham,Don't forget about the dinner on Saturday.
ham,Looking forward to seeing you at the event.
ham,I'll pick you up from the airport at 7 PM.
ham,Can you help me with this project tomorrow?
ham,"Just checking in, hope you're doing well."
ham,I'll send you the presentation later today.
ham,Are we still on for the meeting tomorrow?
ham,Let's have lunch together sometime this week.
ham,I'll bring the documents to the office tomorrow.
ham,Do you want to join the conference next week?
ham,I'll send over the latest version of the file soon.
ham,Can you confirm if you're attending the workshop?
ham,I'll be out of the office next Monday.
ham,Do you want to go for a walk later today?
ham,Can you finish the task by the end of the day?
ham,Looking forward to our meeting tomorrow.
ham,I'll drop by your office in the afternoon.
ham,Can you send me the invoice by tomorrow?
ham,I'll make sure to complete it by this weekend.
ham,Do you want to grab dinner after work?
ham,I'll be available for a call after 5 PM.
ham,Can you help me with this task?
ham,Let's have a quick meeting tomorrow morning.
ham,I'll see you at the event this weekend.
ham,Can you review this document before sending it?
ham,I'll make sure to get this done by tonight.
ham,Are you free for a meeting later today?
ham,I'll update you on the progress tomorrow.
ham,Do you want to attend the webinar this afternoon?
ham,I'll bring the report to the office tomorrow.
ham,Let's finalize the details in our next meeting.
ham,I'll forward the email to you by this evening.
ham,Can you send me the contact details?
ham,I'll bring the updated files to the meeting.
ham,Are you available for a quick call later?
ham,I'll follow up with you tomorrow about the project.
ham,Can we reschedule the meeting to Friday?
ham,I'll update the spreadsheet and send it to you.
ham,Do you want to join the call at 3 PM?
ham,I'll be out of the office on Friday.
ham,Can you complete the report by tomorrow?
ham,I'll email you the agenda for the meeting.
ham,Are you available for a quick chat this afternoon?
ham,I'll bring the presentation to the meeting tomorrow.
ham,Can you send me the updated financial statements for the Q3 review later today?
